,ชื่อย่อหลักทรัพย์,ชื่อเต็มหลักทรัพย์จดทะเบียน,ตลาด,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,Factsheet
75,GROREIT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์ แกรนด์ รอยัล ออคิด โฮสพีทาลิตี้ ที่มีข้อตกลงในการซื้อคืน,SET,PROPCON,PF&REIT,
76,GSC,บริษัท โกลบอล เซอร์วิส เซ็นเตอร์ จำกัด (มหาชน),mai,SERVICE,-,
77,GSTEEL,บริษัท จี สตีล จำกัด (มหาชน),SET,INDUS,STEEL,
78,GTB,บริษัท เจตาแบค จำกัด (มหาชน),mai,INDUS,-,
79,GULF,บริษัท กัลฟ์ เอ็นเนอร์จี ดีเวลลอปเมนท์ จำกัด (มหาชน),SET,RESOURC,ENERG,
80,GUNKUL,บริษัท กันกุลเอ็นจิเนียริ่ง จำกัด (มหาชน),SET,RESOURC,ENERG,
81,GVREIT,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์โกลเด้นเวนเจอร์,SET,PROPCON,PF&REIT,
82,GYT,บริษัท กู๊ดเยียร์(ประเทศไทย) จำกัด (มหาชน),SET,INDUS,AUTO,
83,HANA,บริษัท ฮานา ไมโครอิเล็คโทรนิคส จำกัด (มหาชน),SET,TECH,ETRON,
84,HARN,บริษัท หาญ เอ็นจิเนียริ่ง โซลูชั่นส์ จำกัด (มหาชน),mai,SERVICE,-,
85,HEMP,บริษัท เฮลท์ เอ็มไพร์ คอร์ปอเรชั่น จำกัด (มหาชน),mai,SERVICE,-,
86,HENG,บริษัท เฮงลิสซิ่ง แอนด์ แคปปิตอล จำกัด (มหาชน),SET,FINCIAL,FIN,
87,HFT,บริษัท ฮั้วฟง รับเบอร์ (ไทยแลนด์) จำกัด (มหาชน),SET,INDUS,AUTO,
88,HL,บริษัท เฮลท์ลีด จำกัด (มหาชน),mai,SERVICE,-,
89,HMPRO,บริษัท โฮม โปรดักส์ เซ็นเตอร์ จำกัด (มหาชน),SET,SERVICE,COMM,
90,HPF,กองทุนรวมอสังหาริมทรัพย์และสิทธิการเช่าเหมราชอินดัสเตรียล,SET,PROPCON,PF&REIT,
91,HPT,บริษัท โฮม พอตเทอรี่ จำกัด (มหาชน),mai,CONSUMP,-,
92,HTC,บริษัท หาดทิพย์ จำกัด (มหาชน),SET,AGRO,FOOD,
93,HTECH,บริษัท แฮลเซี่ยน เทคโนโลยี่ จำกัด (มหาชน),SET,INDUS,IMM,
94,HUMAN,บริษัท ฮิวแมนิก้า จำกัด (มหาชน),SET,TECH,ICT,
95,HYDRO,บริษัท ไฮโดรเท็ค จำกัด (มหาชน),mai,PROPCON,-,
96,HYDROGEN,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าไฮโดรเจน,SET,PROPCON,PF&REIT,
97,ICC,บริษัท ไอ.ซี.ซี. อินเตอร์เนชั่นแนล จำกัด (มหาชน),SET,SERVICE,COMM,
98,ICHI,บริษัท อิชิตัน กรุ๊ป จำกัด (มหาชน),SET,AGRO,FOOD,
99,ICN,บริษัท อินฟอร์เมชั่น แอนด์ คอมมิวนิเคชั่น เน็ทเวิร์คส จำกัด (มหาชน),mai,TECH,-,
0,IFEC,บริษัท อินเตอร์ ฟาร์อีสท์ เอ็นเนอร์ยี่ คอร์ปอเรชั่น จำกัด (มหาชน),SET,RESOURC,ENERG,
1,IFS,บริษัท ไอเอฟเอส แคปปิตอล (ประเทศไทย) จำกัด (มหาชน),SET,FINCIAL,FIN,
2,IHL,บริษัท อินเตอร์ไฮด์ จำกัด (มหาชน),SET,INDUS,AUTO,
3,IIG,บริษัท ไอแอนด์ไอ กรุ๊ป จำกัด (มหาชน),mai,TECH,-,
4,III,บริษัท ทริพเพิล ไอ โลจิสติกส์ จำกัด (มหาชน),SET,SERVICE,TRANS,
5,ILINK,บริษัท อินเตอร์ลิ้งค์ คอมมิวนิเคชั่น จำกัด (มหาชน),SET,TECH,ICT,
6,ILM,บริษัท อินเด็กซ์ ลิฟวิ่งมอลล์ จำกัด (มหาชน),SET,SERVICE,COMM,
7,IMH,บริษัท โรงพยาบาลอินเตอร์เมดิคัล แคร์ แอนด์ แล็บ จำกัด (มหาชน),mai,SERVICE,-,
8,IMPACT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์อิมแพ็คโกรท,SET,PROPCON,PF&REIT,
9,IND,บริษัท อินเด็กซ์ อินเตอร์เนชั่นแนล กรุ๊ป จำกัด (มหาชน),mai,PROPCON,-,
10,INET,บริษัท อินเทอร์เน็ตประเทศไทย จำกัด (มหาชน),SET,TECH,ICT,
11,INETREIT,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์ไอเน็ต,SET,PROPCON,PF&REIT,
12,INGRS,บริษัท อิงเกรส อินดัสเตรียล (ไทยแลนด์) จำกัด (มหาชน),SET,INDUS,AUTO,
13,INOX,บริษัท โพสโค-ไทยน๊อคซ์ จำกัด (มหาชน),SET,INDUS,STEEL,
14,INSET,บริษัท อินฟราเซท จำกัด (มหาชน),SET,TECH,ICT,
15,INSURE,บริษัท อินทรประกันภัย จำกัด (มหาชน),SET,FINCIAL,INSUR,
16,INTUCH,บริษัท อินทัช โฮลดิ้งส์ จำกัด (มหาชน),SET,TECH,ICT,
17,IP,บริษัท อินเตอร์ ฟาร์มา จำกัด (มหาชน),mai,CONSUMP,-,
18,IRC,บริษัท อีโนเว รับเบอร์ (ประเทศไทย) จำกัด (มหาชน),SET,INDUS,AUTO,
19,IRCP,บริษัท อินเตอร์เนชั่นแนล รีเสริช คอร์ปอเรชั่น จำกัด (มหาชน),mai,TECH,-,
20,IRPC,บริษัท ไออาร์พีซี จำกัด (มหาชน),SET,RESOURC,ENERG,
21,IT,บริษัท ไอที ซิตี้ จำกัด (มหาชน),SET,SERVICE,COMM,
22,ITC,บริษัท ไอ-เทล คอร์ปอเรชั่น จำกัด (มหาชน),SET,AGRO,FOOD,
23,ITD,บริษัท อิตาเลียนไทย ดีเวล๊อปเมนต์ จำกัด (มหาชน),SET,PROPCON,CONS,
24,ITEL,บริษัท อินเตอร์ลิ้งค์ เทเลคอม จำกัด (มหาชน),SET,TECH,ICT,
25,ITNS,บริษัท อินเตอร์เนชั่นแนล เน็ตเวิร์ค ซิสเต็ม จำกัด (มหาชน),mai,TECH,-,
26,IVL,บริษัท อินโดรามา เวนเจอร์ส จำกัด (มหาชน),SET,INDUS,PETRO,
